"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.coque-en-bois.fr/23.227.38.74","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9jCCA96gAwIBAgISBBx9B+rkox7W421wpwGH7suJMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA3MTkyMTE2MzZaFw0yMzEwMTcyMTE2MzVaMB8xHTAbBgNVBAMTFHd3dy5jb3F1ZS1lbi1ib2lzLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAnJp90oLUJKtCDwx+zvihZY/P2qL14F4DUNDlrYZqlir3Fm2jh+RYn3FBonMvfUvP8ydZv86CnN4Ib4JfmttS7wrxuLv96ZRpC9LIVgoPslDL/tuRoFiW9Mt8c8oWq39WPVkgJTWcRPSsaGMLKgq+rPzmkY90434O7kqPU+MyUvhkgOyXD1Hr21aKWU2SQCdKGvoaaGuveIkZC5SYyjlMaL0ob+zFDSt4D4u9QF3vqYkoY1jp1yjxAeqzeoxyu8ve3JIjIr4ld9Ozse8/ftl1Cd3eIDU6uuqBzdz0xv/XvtMzxCEM+IEZJeyl0Q/N2+mxgNvaZzBudDu8G43sY0C85QIDAQABo4ICFzCCAhMwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBT+8tQ61V4O4pbZLYfiA0FAHWYPwTAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAfBgNVHREEGDAWghR3d3cuY29xdWUtZW4tYm9pcy5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB2ALc++yTfnE26dfI5xbpY9Gxd/ELPep81xJ4dCYEl7bSZAAABiXA6ARkAAAQDAEcwRQIgIJ+4HPdKygyCIFANEd4auuIS/M3vUabrEIaxwhW/m6cCIQCg5wf938U/Twn6IzzSxwCedsGsha0Na25MejryadKrpQB3AK33vvp8/xDIi509nB4+GGq0Zyldz7EMJMqFhjTr3IKKAAABiXA6AVYAAAQDAEgwRgIhAMcSXXf1em8yXASu8gt+hrosvWRfSDxtylChNout8TLpAiEAnTD6/AtoUS+QHE183iJ/qrLhrWhM0ka3udnSIi6++c4wDQYJKoZIhvcNAQELBQADggEBABsMuvbkryj8nNkROGeoX1IJPCZaApAut+v9R2m80e+hWJxBn2E095OC1Jlu0G+z33j3qq0UyssvrBpWY2kxe7UXKX6OyG1MorWr8udllRiBbgEQiBddqf2gJjunuwhOOejC+8XKoSfTi7zKHlOYb4aKmFOFU+rygj0D7Zmj1kDJgxXr2VmBHny/DKonVdGJgp76v/lQ0l7QedNA77gHgJiqTuVOx7+YwvdzYdttui65wGQJlP0crodto6P1FOLEOCMG2S9VBov2T/nsjPxFzBFJJOessOl39JEBacwZ9szS7CfyYkIC6eMyebIUVYsOdY+3d42Sod0avPttPUqSZ6A=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.coque-en-bois.fr/23.227.38.74","443","OK","www.coque-en-bois.fr","",""
"cert_commonName_wo_SNI","www.coque-en-bois.fr/23.227.38.74","443","INFO","*.myshopify.com","",""
"cert_subjectAltName","www.coque-en-bois.fr/23.227.38.74","443","INFO","www.coque-en-bois.fr","",""
"cert_trust","www.coque-en-bois.fr/23.227.38.74","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.coque-en-bois.fr/23.227.38.74","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.coque-en-bois.fr/23.227.38.74","443","INFO","no","",""
"cert_expirationStatus","www.coque-en-bois.fr/23.227.38.74","443","OK","37 >= 30 days","",""
"cert_notBefore","www.coque-en-bois.fr/23.227.38.74","443","INFO","2023-07-19 21:16","",""
"cert_notAfter","www.coque-en-bois.fr/23.227.38.74","443","OK","2023-10-17 21:16","",""
"cert_extlifeSpan","www.coque-en-bois.fr/23.227.38.74","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.coque-en-bois.fr/23.227.38.74","443","INFO","not present","",""
"cert_crlDistributionPoints","www.coque-en-bois.fr/23.227.38.74","443","INFO","--","",""
"cert_ocspURL","www.coque-en-bois.fr/23.227.38.74","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","www.coque-en-bois.fr/23.227.38.74","443","OK","offered","",""
"cert_ocspRevoked","www.coque-en-bois.fr/23.227.38.74","443","OK","not revoked","",""
"cert_mustStapleExtension","www.coque-en-bois.fr/23.227.38.74","443","INFO","--","",""
"DNS_CAArecord","www.coque-en-bois.fr/23.227.38.74","443","LOW","--","",""
"certificate_transparency","www.coque-en-bois.fr/23.227.38.74","443","OK","yes (certificate extension)","",""
"certs_countServer","www.coque-en-bois.fr/23.227.38.74","443","INFO","3","",""
"certs_list_ordering_problem","www.coque-en-bois.fr/23.227.38.74","443","INFO","no","",""
"cert_caIssuers","www.coque-en-bois.fr/23.227.38.74","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.coque-en-bois.fr/23.227.38.74","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.coque-en-bois.fr/23.227.38.74","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","www.coque-en-bois.fr/23.227.38.74","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","www.coque-en-bois.fr/23.227.38.74","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","www.coque-en-bois.fr/23.227.38.74","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.coque-en-bois.fr/23.227.38.74","443","INFO","R3 <-- ISRG Root X1","",""
